year,LAW_CAT_CD,VIC_AGE_GROUP,VIC_SEX,Latitude,Longitude
2017,MISDEMEANOR,25-44,F,40.84169493,-73.91110819
2017,MISDEMEANOR,18-24,F,40.82023014,-73.90622323
2017,MISDEMEANOR,25-44,F,40.84678147,-73.89245826
2017,MISDEMEANOR,18-24,F,40.66813686,-73.93674924
2017,MISDEMEANOR,25-44,F,40.69220416,-73.94422696
2017,MISDEMEANOR,25-44,F,40.68699928,-73.93734433
2017,FELONY,25-44,F,40.88365847,-73.84784793
2017,FELONY,18-24,M,40.60347911,-73.95728354
2017,FELONY,18-24,F,40.68874337,-73.94498708
2017,VIOLATION,25-44,M,40.88291675,-73.85811292
2017,FELONY,45-64,M,40.59923375,-73.76493443
2017,VIOLATION,25-44,F,40.69763374,-73.93460435
2017,VIOLATION,45-64,M,40.75814405,-73.96459848
2017,FELONY,<18,F,40.57482548,-73.99092661
2017,FELONY,25-44,M,40.66639798,-73.90989635
2017,FELONY,65+,M,40.67401998,-73.96494596
2017,MISDEMEANOR,25-44,M,40.90506205,-73.90467459
2017,VIOLATION,45-64,M,40.74869594,-73.8841244
2017,MISDEMEANOR,45-64,M,40.80845559,-73.94499651
2017,VIOLATION,25-44,M,40.66325387,-73.9615454
2017,FELONY,18-24,F,40.76123368,-73.98553711
2017,FELONY,25-44,M,40.67072766,-73.73952037
2017,MISDEMEANOR,25-44,M,40.7723438,-73.82841126
2017,MISDEMEANOR,25-44,M,40.7723438,-73.82841126
2017,VIOLATION,45-64,F,40.67890066,-73.80246625
2017,FELONY,25-44,F,40.81111301,-73.95234931
2017,VIOLATION,<18,F,40.83828994,-73.92431451
2017,FELONY,45-64,M,40.83373202,-73.85619413
2017,MISDEMEANOR,25-44,M,40.65402304,-73.9272085
2017,MISDEMEANOR,25-44,F,40.67640022,-73.95828595
2017,MISDEMEANOR,25-44,M,40.81689214,-73.91637987
2017,VIOLATION,18-24,F,40.59536581,-74.08617943
2017,MISDEMEANOR,25-44,M,40.73397419,-73.86974929
2017,FELONY,25-44,M,40.67110691,-73.88143296
2017,MISDEMEANOR,25-44,M,40.56379882,-74.10173002
2017,VIOLATION,25-44,F,40.66451517,-73.90658992
2017,MISDEMEANOR,45-64,M,40.81944886,-73.94078198
2017,FELONY,45-64,F,40.70213857,-73.80444232
2017,FELONY,25-44,F,40.86244157,-73.89119651
2017,MISDEMEANOR,25-44,F,40.6481278,-73.91979502
2017,FELONY,25-44,M,40.59894319,-74.06376065
2017,MISDEMEANOR,18-24,M,40.75029159,-73.86023968
2017,VIOLATION,18-24,F,40.655157,-73.95463033
2017,VIOLATION,25-44,F,40.85177656,-73.90800417
2017,FELONY,25-44,F,40.83044741,-73.87579016
2017,MISDEMEANOR,45-64,M,40.83302909,-73.86272193
2017,MISDEMEANOR,25-44,M,40.6344919,-74.11815179
2017,MISDEMEANOR,45-64,F,40.73120923,-73.81490724
2017,MISDEMEANOR,45-64,F,40.56379882,-74.10173002
2017,VIOLATION,45-64,F,40.76095665,-73.93223916
2017,FELONY,18-24,F,40.80769916,-73.94738486
2017,MISDEMEANOR,25-44,F,40.85214119,-73.92237572
2017,VIOLATION,45-64,M,40.67992788,-73.85019476
2017,VIOLATION,25-44,M,40.57376338,-73.99287776
2017,FELONY,45-64,M,40.86341374,-73.91848695
2017,MISDEMEANOR,45-64,M,40.69271215,-73.85594655
2017,FELONY,25-44,M,40.84390126,-73.90050463
2017,VIOLATION,25-44,F,40.61223642,-73.95384191
2017,FELONY,45-64,F,40.69579172,-73.93909591
2017,FELONY,25-44,F,40.6788066,-73.92034939
2017,MISDEMEANOR,<18,M,40.6754115,-73.87191498
2017,FELONY,25-44,F,40.73309255,-73.99465403
2017,VIOLATION,18-24,F,40.50995275,-74.24822956
2017,MISDEMEANOR,18-24,F,40.72132037,-73.9969891
2017,VIOLATION,25-44,F,40.6606945,-73.92985401
2017,MISDEMEANOR,25-44,M,40.91013849,-73.90321654
2017,VIOLATION,18-24,F,40.81047604,-73.95188015
2017,MISDEMEANOR,25-44,M,40.62454224,-73.95616774
2017,VIOLATION,45-64,F,40.69363548,-73.75314857
2017,VIOLATION,<18,F,40.68025811,-73.86888796
2017,FELONY,18-24,F,40.68904826,-73.95861338
2017,FELONY,18-24,F,40.69891225,-73.94991584
2017,VIOLATION,45-64,M,40.66356929,-73.92284026
2017,VIOLATION,25-44,F,40.67378101,-73.89634946
2017,FELONY,25-44,F,40.64616693,-73.94616811
2017,MISDEMEANOR,25-44,F,40.76054195,-73.8215579
2017,MISDEMEANOR,25-44,M,40.76054195,-73.8215579
2017,VIOLATION,65+,M,40.72885911,-73.85906873
2017,MISDEMEANOR,25-44,F,40.76135734,-73.98678967
2017,FELONY,45-64,F,40.6909918,-73.78287883
2017,VIOLATION,25-44,M,40.85052266,-73.90515035
2017,VIOLATION,25-44,F,40.70709425,-74.00382469
2017,VIOLATION,25-44,F,40.82906028,-73.92143424
2017,MISDEMEANOR,65+,M,40.85214119,-73.92237572
2017,FELONY,25-44,M,40.88916271,-73.85296023
2017,VIOLATION,25-44,F,40.64021055,-74.0204281
2017,VIOLATION,25-44,F,40.6135612,-73.94539481
2017,MISDEMEANOR,25-44,F,40.66708692,-73.89993209
2017,MISDEMEANOR,18-24,M,40.83796705,-73.84349283
2017,FELONY,25-44,F,40.84169493,-73.91110819
2017,MISDEMEANOR,18-24,F,40.80837414,-73.94688582
2017,MISDEMEANOR,25-44,M,40.65940605,-73.9626361
2017,MISDEMEANOR,25-44,F,40.62368882,-74.15065813
2017,FELONY,25-44,F,40.58230199,-74.1689361
2017,FELONY,25-44,F,40.82814189,-73.94177154
