location,price_per_month,bed num,bath num,sqft,url of rental info,latitude,longitude
"E 14th St,Brooklyn,NY,11229",1150.0,1,1.0,2143.0,https://www.zillow.com/homedetails/E-14th-St-Brooklyn-NY-11229/2088673101_zpid/,40.5987264,-73.9573289
"141 Haven Ave,Staten Island,NY,10306",1150.0,1,1.0,2143.0,https://www.zillow.com/homedetails/141-Haven-Ave-Staten-Island-NY-10306/82784341_zpid/,40.5790374,-74.0984281
"Malibu Ct,Staten Island,NY,10309",1150.0,1,1.0,650.0,https://www.zillow.com/homedetails/Malibu-Ct-Staten-Island-NY-10309/2101901646_zpid/,40.5377586,-74.21383519999999
"E 14th St,Brooklyn,NY,11229",1150.0,1,1.0,500.0,https://www.zillow.com/homedetails/E-14th-St-Brooklyn-NY-11229/2085349127_zpid/,40.5987264,-73.9573289
"903 E 92nd St,Brooklyn,NY,11236",1150.0,1,1.0,450.0,https://www.zillow.com/homedetails/903-E-92nd-St-Brooklyn-NY-11236/30772955_zpid/,40.64647799999999,-73.910383
"Strang Ave,BRONX,NY,10466",1150.0,1,1.0,2688.0,https://www.zillow.com/homedetails/Strang-Ave-Bronx-NY-10466/2085915379_zpid/,40.8908918,-73.83930190000001
"Getz Ave,Staten Island,NY,10312",1150.0,1,1.0,2688.0,https://www.zillow.com/homedetails/Getz-Ave-Staten-Island-NY-10312/2085033603_zpid/,40.5543117,-74.165483
"Oakley Pl,Staten Island,NY,10306",1150.0,1,1.0,2688.0,https://www.zillow.com/homedetails/Oakley-Pl-Staten-Island-NY-10306/2085020808_zpid/,40.5739291,-74.12317449999999
"Charleston Ave,STATEN ISLAND,NY,10309",1150.0,1,1.0,2688.0,https://www.zillow.com/homedetails/Charleston-Ave-Staten-Island-NY-10309/2089189889_zpid/,40.5491659,-74.2176499
"Bay Pkwy,Brooklyn,NY,11204",1150.0,1,1.0,2688.0,https://www.zillow.com/homedetails/Bay-Pkwy-Brooklyn-NY-11204/2087596065_zpid/,40.6135341,-73.9817632
"38 Alverson Ave FL B,Staten Island,NY,10309",1150.0,1,1.0,2688.0,https://www.zillow.com/homedetails/38-Alverson-Ave-FL-B-Staten-Island-NY-10309/2085141687_zpid/,40.55406310000001,-74.210756
"26 Wagner St,Staten Island,NY,10305",1175.0,1,1.0,950.0,https://www.zillow.com/homedetails/26-Wagner-St-Staten-Island-NY-10305/58577750_zpid/,40.60794,-74.071551
"Elson St,Staten Island,NY,10314",1199.0,1,1.0,1682.0,https://www.zillow.com/homedetails/Elson-St-Staten-Island-NY-10314/2085207476_zpid/,40.616391,-74.1663866
"Courtney Loop,Staten Island,NY,10305",1200.0,1,1.0,4000.0,https://www.zillow.com/homedetails/Courtney-Loop-Staten-Island-NY-10305/2097771788_zpid/,40.6124665,-74.0626186
"103rd Ave,Jamaica,NY,11419",1200.0,1,1.0,4000.0,https://www.zillow.com/homedetails/103rd-Ave-Jamaica-NY-11419/2085159709_zpid/,40.6877055,-73.82588
"Grant Ave,Brooklyn,NY,11208",1200.0,1,1.0,600.0,https://www.zillow.com/homedetails/Grant-Ave-Brooklyn-NY-11208/2085024740_zpid/,40.6830197,-73.8671366
"E 14th St,Brooklyn,NY,11235",1200.0,1,1.0,600.0,https://www.zillow.com/homedetails/E-14th-St-Brooklyn-NY-11235/2085039427_zpid/,40.5899815,-73.95567249999999
"Connecticut St,Staten Island,NY,10307",1200.0,1,1.0,550.0,https://www.zillow.com/homedetails/Connecticut-St-Staten-Island-NY-10307/2096105343_zpid/,40.5039422,-74.24994989999999
"54 Lerer Ln,Staten Island,NY,10307",1200.0,1,1.0,2500.0,https://www.zillow.com/homedetails/54-Lerer-Ln-Staten-Island-NY-10307/59821277_zpid/,40.5070318,-74.23129899999999
"North St,Bronx,NY,10468",1200.0,1,1.0,700.0,https://www.zillow.com/homedetails/North-St-Bronx-NY-10468/2085112702_zpid/,40.8599922,-73.90408819999999
"627 Wainwright Ave,Staten Island,NY,10312",1200.0,1,1.0,300.0,https://www.zillow.com/homedetails/627-Wainwright-Ave-Staten-Island-NY-10312/32355563_zpid/,40.5449318,-74.1681952
"Cruger Ave,Bronx,NY,10467",1200.0,1,1.0,700.0,https://www.zillow.com/homedetails/Cruger-Ave-Bronx-NY-10467/2094734102_zpid/,40.86257570000001,-73.8664316
"11106 Corona Ave # 1,Corona,NY,11368",1200.0,1,1.0,700.0,https://www.zillow.com/homedetails/11106-Corona-Ave-1-Corona-NY-11368/2085269142_zpid/,40.7405578,-73.8497299
"2099 Grand Concourse,Bronx,NY,10453",1200.0,1,1.0,700.0,https://www.zillow.com/homedetails/2099-Grand-Concourse-Bronx-NY-10453/2087304508_zpid/,40.8541081,-73.90266299999999
"15 North St APT 3B,Bronx,NY,10468",1200.0,1,1.0,700.0,https://www.zillow.com/homedetails/15-North-St-APT-3B-Bronx-NY-10468/2085205776_zpid/,40.8600569,-73.9036299
"E 234th St,Bronx,NY,10466",1200.0,1,1.0,650.0,https://www.zillow.com/homedetails/E-234th-St-Bronx-NY-10466/2085038756_zpid/,40.89508319999999,-73.85983039999999
