title,address,city,state,postal_code,price,facts and features,real estate provider,url
Apartment for rent,258 E 78th St APT 1D,New York,NY,10075,"$2,550/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/258-E-78th-St-APT-1D-New-York-NY-10075/2123726560_zpid/
Apartment for rent,693 Union St APT 1R,Brooklyn,NY,11215,"$3,100/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/693-Union-St-APT-1R-Brooklyn-NY-11215/2102688980_zpid/
Apartment for rent,101 Prospect Park W APT 2A,Brooklyn,NY,11215,"$3,100/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/101-Prospect-Park-W-APT-2A-Brooklyn-NY-11215/2085302442_zpid/
For Rent,,,,,,"0 $2,300 1 $3,200",,"https://www.zillow.com/b/195-5th-Ave-Brooklyn-NY/40.676679,-73.979961_ll/"
Apartment for rent,620 Lenox Ave APT 12E,New York,NY,10037,"$3,100/mo","3 bds , 2 ba , -- sqft",,https://www.zillow.com/homedetails/620-Lenox-Ave-APT-12E-New-York-NY-10037/2116472777_zpid/
Apartment for rent,2247 A C P Jr Blvd APT 3BC,New York,NY,10027,"$2,609/mo","3 bds , 2 ba , -- sqft",,https://www.zillow.com/homedetails/2247-A-C-P-Jr-Blvd-APT-3BC-New-York-NY-10027/2085302440_zpid/
Apartment for rent,2150 Hazen St # 1A,East Elmhurst,NY,11370,"$1,175/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/2150-Hazen-St-1A-East-Elmhurst-NY-11370/2085302441_zpid/
For Rent,,,,,,"0 $1,895 2 $2,455",,"https://www.zillow.com/b/55-Clinton-St-New-York-NY/40.719698,-73.985037_ll/"
Apartment for rent,3530 81st St # 3,Jackson Heights,NY,11372,"$1,950/mo","1 bd , 1 ba , 875 sqft",,https://www.zillow.com/homedetails/3530-81st-St-3-Jackson-Heights-NY-11372/2101438716_zpid/
For Rent,,,,,,"0 $2,400 1 $3,500",,"https://www.zillow.com/b/213-7th-Ave-New-York-NY/40.743489,-73.995758_ll/"
For Rent,,,,,,"4 $2,400+",,"https://www.zillow.com/b/4348-163rd-St-Flushing-NY/40.757288,-73.803748_ll/"
Apartment for rent,1867 W 5th St APT 1F,Brooklyn,NY,11223,"$1,500/mo","1 bd , 1 ba , 775 sqft",,https://www.zillow.com/homedetails/1867-W-5th-St-APT-1F-Brooklyn-NY-11223/2085302542_zpid/
For Rent,,,,,,"2 $1,499+ 3 $1,899+",,"https://www.zillow.com/b/2114-Daly-Ave-Bronx-NY/40.844843,-73.881077_ll/"
Apartment for rent,2320 29th St # 4,Astoria,NY,11105,"$3,000/mo","3 bds , 1.5 ba , 950 sqft",,https://www.zillow.com/homedetails/2320-29th-St-4-Astoria-NY-11105/2085302537_zpid/
Apartment for rent,2326 29th Ave # 1,Astoria,NY,11102,"$2,000/mo","2 bds , 1 ba , 625 sqft",,https://www.zillow.com/homedetails/2326-29th-Ave-1-Astoria-NY-11102/2085302539_zpid/
